,PS_Ratio
2022-03-31,5.0
2022-06-30,4.0
2022-09-30,3.8
2022-12-31,4.0
2023-03-31,4.8
2023-06-30,5.8
2023-09-30,5.5
2023-12-31,6.2
2024-03-31,6.5
2024-06-30,7.0
2024-09-30,6.8
2024-12-31,8.952740086098352
