,PE_Ratio
2022-03-31,28.0
2022-06-30,22.0
2022-09-30,20.0
2022-12-31,22.0
2023-03-31,26.0
2023-06-30,32.0
2023-09-30,30.0
2023-12-31,34.0
2024-03-31,35.0
2024-06-30,37.0
2024-09-30,35.0
2024-12-31,38.63261317971237
