Year,Dotcom,BigTechAI,PureAI
1996,7.4,,
1997,8.2,,
1998,28.2,,
1999,76.4,,
2000,31.7,,
2020,,49.6,31.8
2021,,44.6,-0.3
2022,,-38.5,-0.2
2023,,39.4,30.1
2024,,34.5,63.1
2025,,35.2,173.3
